name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
		NetOtherFinancingCharges,"-5,424,000,000","-5,528,000,000","-3,440,000,000","-2,322,000,000","-3,193,000,000","-3,259,000,000","2,000,000","1,701,000,000","1,796,000,000","-280,000,000","-1,829,000,000","603,000,000","115,000,000"
EndCashPosition,"15,730,000,000","16,865,000,000","17,954,000,000","19,279,000,000","10,124,000,000","8,079,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000"
	ChangesInCash,"-4,161,000,000","-615,000,000","-1,604,000,000","9,151,000,000","2,099,000,000","-1,057,000,000","4,059,000,000","747,000,000","1,115,000,000","931,000,000","871,000,000","-276,000,000","1,155,000,000"
	EffectOfExchangeRateChanges,"-377,000,000","-474,000,000","279,000,000","4,000,000","-179,000,000","233,000,000","-63,000,000","-155,000,000","-123,000,000","8,000,000","1,000,000","3,000,000","-3,000,000"
	BeginningCashPosition,"19,891,000,000","17,954,000,000","19,279,000,000","10,124,000,000","8,204,000,000","8,903,000,000","4,907,000,000","4,315,000,000","3,323,000,000","2,384,000,000","1,512,000,000","1,785,000,000","633,000,000"
IncomeTaxPaidSupplementalData,"6,120,000,000","8,525,000,000","4,229,000,000","5,182,000,000","3,762,000,000","2,117,000,000","1,210,000,000","273,000,000","184,000,000","82,000,000","53,000,000","197,000,000","261,000,000"
InterestPaidSupplementalData,,,,,"1,000,000",0,"11,000,000","10,000,000","14,000,000","38,000,000","38,000,000","28,000,000","23,000,000"
CapitalExpenditure,"-19,705,000,000","-18,567,000,000","-15,115,000,000","-15,102,000,000","-13,915,000,000","-6,733,000,000","-4,491,000,000","-2,523,000,000","-1,831,000,000","-1,362,000,000","-1,235,000,000","-606,000,000","-293,000,000"
IssuanceOfCapitalStock,,,,,,,,0,0,"1,478,000,000","6,760,000,000","998,000,000","500,000,000"
IssuanceOfDebt,,,,,,,,,0,0,"1,701,000,000",,"250,000,000"
RepaymentOfDebt,"-759,000,000","-677,000,000","-604,000,000","-552,000,000",0,0,"-312,000,000","-119,000,000","-243,000,000","-1,891,000,000","-366,000,000","-431,000,000","-90,000,000"
RepurchaseOfCapitalStock,"-50,104,000,000","-44,537,000,000","-6,272,000,000","-4,202,000,000","-12,879,000,000","-1,976,000,000",,,,,,,
FreeCashFlow,"39,812,000,000","39,116,000,000","23,632,000,000","21,212,000,000","15,359,000,000","17,483,000,000","11,617,000,000","6,076,000,000","3,626,000,000","2,860,000,000","377,000,000","943,000,000","405,000,000"
